# Amal's vocabulary Doc (docs/data/words.json) - english | her arabizi | arabic | key
everything | kulshi | كلشي | kulshi
exactly | Belzzab6 | بالضبط | belzab6
except | illa | إلا | ila
excited | mit7ammes | متحمس لَ | mit7ames
exciting | bey7ammes | بيحمس | bei7ames
exercise | Tamreen | تمرين | tamrIn
exercise | etmarran | تمرّن | etmaran
expensive | 8aali | غالي | 8Ali
explain | Eshra7 | اشرح | eshra7
extra / increase | Ziaadeh | زيادة | ziAdeh
eye | 3ain (F) | عين | 3ain f
eyebrow | 7aajeb | حاجب | 7Ajeb
face | Wijeh | وجه | wijeh
family | 3aileh | عيلة | 3aileh
famous | Mashhoor | مشهور | mashhUr
far | Ba3eed | بعيد | ba3Id
fast | Saree3 | سريع | sarI3
fat | Nâse7 | ناصح | nase7
father | Ab | أبو | ab
faucet | 7anafiyyeh | حنفية | 7anafIyeh
favorite | Mufaddal | مفضل | mufadal
feel | 7ess | حس | 7es
female friend | Sadeeqa | صديقة | sadI2a
female friend | saa7be | صاحبة | sA7be
female neighbour | Jâara | جارة | jAra
female someone | Wa7deh | وحدة | wa7deh
fifteen | 5ames6a3sh | خمستاعش | 5ames6a3sh
fifty | 5amsin | خمسين | 5amsin
fifty-seven | sab3a u 5amsin | سبعة و خمسين | sab3a u 5amsin
figs | Teen | تين | tIn
find | Laa2i | لاقي | lA2i
finger | Osba3 | أصبع | osba3
finish | 5alles | خلّص | 5ales
fire | Naar | نار | nAr
first / the beginning of | Awal | أول | awal
first person | Awal 7ada | أول حدا | awal 7ada
fish | Samak | سمك | samak
five | 5amsah | خمسة | 5amsah
five hours | 5ames saa3aat | خمس ساعات | 5ames sA3At
five hundred | 5amesmeyyah | خمسمية | 5amesmeiyah
five thousand | 5amestalaf | خمس آلاف | 5amestalaf
flat sheet / tray | Siniyyeh | صينية | sinIyeh
flies (general) | Dubaan | دبان | dubAn
flight time | Maw3ed el-6ayyaara | موعد الطيارة | maw3ed al6aiyAra
flower | Warda | وردة | warda
fly | Dubaane | دبانة | dubAne
fly (command) / go away / vanish quickly | 6eer | طير | 6Ir
food | Akel | أكل | akel
for / to | la | لَ | la
for a long time | la-wa2et taweel | لوقت طويل | la wa2et tawIl
for a short time | la-wa2et 2aseer | لوقت قصير | la wa2et 2asIr
for free | Bibalaash | ببلاش | bibalAsh
foreigner – foreigners | Ajnabi | أجنبي | ajnabi
forest | 8aabe | غابة | 8Abe
forget | Insa | انسَ | insa
fork | Shoka | شوكة | shoka
formal | Rasmi | رسمي | rasmi
formal shoes | Kundara | كندرة | kundara
four | Arba3a | أربعة | arba3a
four hundrend | arba3meyyah | أربعمية | arba3meiyah
four minutes | Arba3 da2aaye2 | أربع دقايق | arba3 da2Aye2
four thousand | arba3talaf | أربع آلاف | arba3talaf
fourteen | Arba3ta3sh | أربعتاش | arba3ta3sh
fourty fourty | arb3in | أربعين | arb3in
fourty-four | Arba3a u arb3in | أربعة و أربعين | arba3a u arb3in
free / available | Faadi | فاضي | fAdi
freezer | Freezer | فريزر | frIzer
fresh/ripe (m&f) | 6?za | طازة | 6 za
friday | Yoam el-jum3a | يوم الجمعة | yoam aljum3a
fridge | Tallaja | تلاجة | talaja
friend | Sadeeq | صديق | sadI2
friend/boyfriend | Sâa7eb | صاحب | sA7eb
from | Min | من | min
fruits | Fawakeh | فواكه | fawakeh
fry | E2li | اقلي | e2li
full (food) | Shab3aan | شبعان | shab3An
full (general/object) | Malyaan | مليان | malyAn
fun / witty (light-blooded) | 5afeef dam | خفيف دم | 5afIf dam
funny | Beyda77ek | بيضحك | beida7ek
future | Musta2bal | مستقبل | musta2bal
game | Lu3beh | لعبة | lu3beh
garden | 7adeeqa | حديقة | 7adI2a
garlic | Tomeh | تومة | tomeh
generous | Kareem | كريم | karIm
get ready | Jahhez | جهز حالك | jahez~2
get well soon (your safety) | salamtak | سلامتك | salamtak
get well soon response (f) / response to "tewsal bil-salaame" or "al-7amdellah 3al-salaame" | Allah ysalmek | الله يسلمك | alah isalmek
get well soon response (m) | Allah ysalmak | الله يسلمك | alah isalmak
gift | Hadiyye | هدية | hadIye
girl / daughter | Benet | بنت | benet
give | A3ti | اعطي | a3ti
give me | Haat | هات | hAt
glass | kaseh | كاسة | kaseh
glasses | Naddaara | نضارة | nadAra
go | Roo7 | روح | rU7
go out/up | Etla3 | اطلع | etla3
gold (m/f) | Dahabi | دهبي | dahabi
good (female) | mneehah | منيحة | mnIhah
good (male) | mneeh | منيح | mnIh
good evening | masa alkheir | مساء الخير | masa al5eir
good evening response (evening of light) | masa alnoor | مساء النور | masa alnUr
good morning | Sabah Alkheir | صباح الخير | sabah al5eir
good morning response (morning of light) | sabah alnoor | صباح النور | sabah alnUr
good night (wake up to good) | tesbah 'ala kheir | تصبح على خير | tesbah 2ala 5eir
good night response | telaqi alkheir | تلاقي الخير | tela2i al5eir
grandchildren (plural) | A7faad | أحفاد | a7fAd
granddaughter | 7afeedeh | حفيدة | 7afIdeh
grandfather | Seed | سيد | sId
grandmother / mrs. / ms. | Sit | ست | sit
grandson | 7afeed | حفيد | 7afId
grapes | 3enab | عنب | 3enab
grass | 7asheesh | حشيش | 7ashIsh
gray (m/f) | Sakani | سكني | sakani
green (m/f) | A5dar | أخضر | a5dar
green almond | Loz a5dar | لوز أخضر | loz a5dar
groceries store | Dukkaan | دكان | dukAn
ground / land / floor | Ard | أرض | ard
ground beef | La7meh mafrumeh | لحمة مفرومة | la7meh mafrumeh
guest room | Salon | صالون | salon
gym | Gym | جم | gim
hair (mass noun) | Sha3ar | شعر | sha3ar
hair salon | Salon | صالون | salon~hair-salon
hairdresser | Kwafair | كوافير | kwafair
half | Noss | نص | nos
half | Nus | نص | nus
hand / arm | Eed (F) | إيد | Id f
happens / acceptable/it’s ok//permission | Bey9eer | بيصير | bei9Ir
happy | Mabsoo6 | مبسوط | mabsU6
happy (p) | Mabsoo6een | مبسوطين | mabsU6In
hard | Qaasi | قاسي | 2Asi
hat | Taqiyye | طاقية | ta2Iye
hate | ekrah | اكره | ekrah
have to / should | Laazem | لازم | lAzem
he answered/responded | huwwe radd | هو رد | huwe rad
he asked | huwwe sa2al | هو سأل | huwe sa2al
he ate | huwwe akal | هو أكل | huwe akal
he became | huwwe saar | هو صار | huwe sAr
he became quiet | huwwe sakat | هو سكت | huwe sakat
he began | huwwe bada | هو بدأ | huwe bada
he bought | huwwe shtara | هو اشترى | huwe shtara
he brought | huwwe jaab | هو جاب | huwe jAb
he came | huwwe aja | هو إجا | huwe aja
he carried | huwwe 7amal | هو حمل | huwe 7amal
he changed | huwwe 8ayyar | هو غير | huwe 8aiyar
he cheated | huwwe 8ashsh | هو غش | huwe 8ash
he cleaned | huwwe naddaf | هو نظف | huwe nadaf
he closed | huwwe sakkar | هو سكر | huwe sakar
he complained | huwwe shaka | هو شكى | huwe shaka
he cooked | huwwe taba5 | هو طبخ | huwe taba5
he could / was able to | huwwe 2eder | هو قدر | huwe 2eder
he cut | huwwe 2ass | هو قص | huwe 2as
he did/made | huwwe 3emel | هو عمل | huwe 3emel
he drank | huwwe shereb | هو شرب | huwe shereb
he drew | huwwe rasam | هو رسم | huwe rasam
he drove | huwwe saa2 | هو ساق | huwe sA2
he exercised | huwwe tmarran | هو تمرن | huwe tmaran
he explained | huwwe shara7 | هو شرح | huwe shara7
he felt | huwwe 7ass | هو حس | huwe 7as
he finished | huwwe 5allas | هو خلص | huwe 5alas
he forgot | huwwe nisi | هو نسي | huwe nisi
he fought | huwwe 2aatal | هو قاتل | huwe 2Atal
he found | huwwe la2a | هو لقى | huwe la2a
he fried | huwwe 2ala | هو قلى | huwe 2ala
he gave | huwwe 3ata | هو عطى | huwe 3ata
he had | kaan 3indo | كان عنده | kAn 3indo
he hated | huwwe kereh | هو كره | huwe kereh
he held | huwwe masak | هو مسك | huwe masak
he hurried | huwwe sta3jal | هو استعجل | huwe sta3jal
he hurt | huwwe wajja3 | هو وجع | huwe waja3
he invited | huwwe 3azam | هو عزم | huwe 3azam
he knew | huwwe 3iref | هو عرف | huwe 3iref
he laughed/smiled | huwwe de7ek | هو ضحك | huwe de7ek
he learned | Huwwe t3allam | هو تعلم | huwe t3alam
he left/let | huwwe 5alla | هو خلى | huwe 5ala
he lied | huwwe kazzab | هو كذب | huwe kazab
he liked | huwwe 7abb | هو حب | huwe 7ab
he listened | huwwe seme3 | هو سمع | huwe seme3
he made someone bored | huwwe zahha2 | هو زهق | huwe zaha2
he made someone crazy | huwwe jennen | هو جنن | huwe jenen
he made someone laugh | huwwe da77ak | هو ضحك | huwe da7ak
he met up | huwwe lta2a | هو التقى | huwe lta2a
he moved | huwwe 7arrak | هو حرك | huwe 7arak
he needed | huwwe 7taaj | هو احتاج | huwe 7tAj
he opened | huwwe fata7 | هو فتح | huwe fata7
he ordered | huwwe 6alab | هو طلب | huwe 6alab
he organized | huwwe rattab | هو رتب | huwe ratab
he paid attention | huwwe ntebah | هو انتبه | huwe ntebah
he paid/pushed | huwwe dafa3 | هو دفع | huwe dafa3
he planned | huwwe 5a66at | هو خطط | huwe 5a6at
he played | huwwe le3eb | هو لعب | huwe le3eb
he practiced | huwwe tdarrab | هو تدرب | huwe tdarab
he preferred | huwwe faddal | هو فضل | huwe fadal
he prepared | huwwe jahhaz | هو جهز | huwe jahaz
he put | huwwe 7att | هو حط | huwe 7at
he ran | huwwe rakad | هو ركض | huwe rakad
he rang/called | huwwe rann | هو رن | huwe ran
he read | huwwe qara2 | هو قرأ | huwe 2ara2
he relaxed | huwwe rtaa7 | هو ارتاح | huwe rtA7
he remembered | huwwe tzakkar | هو تذكر | huwe tzakar
he said | huwwe 2aal | هو قال | huwe 2Al
he sang | huwwe 8anna | هو غنى | huwe 8ana
he sat | huwwe 2a3ad | هو قعد | huwe 2a3ad
he saw | huwwe shaaf | هو شاف | huwe shAf
he scratched | huwwe 7akk | هو حك | huwe 7ak
he sent | huwwe ba3at | هو بعت | huwe ba3at
he showed | huwwe farja | هو فرجى | huwe farja
he slept | huwwe naam | هو نام | huwe nAm
he smelled | huwwe shamm | هو شم | huwe sham
he sold | huwwe baa3 | هو باع | huwe bA3
he spent (time) | huwwe 2adda | هو قضى | huwe 2ada
he started | huwwe ballash | هو بلش | huwe balash
he stayed/kept | huwwe dall | هو ضل | huwe dal
he stopped | huwwe wa22af | هو وقف | huwe wa2af
he studied | huwwe daras | هو درس | huwe daras
he talked | huwwe 7aka | هو حكى | huwe 7aka
he taught | huwwe 3allam | هو علم | huwe 3alam
he thought/assumed | huwwe zann | هو ظن | huwe zan
he took | huwwe a5ad | هو أخذ | huwe a5ad
he translated | huwwe tarjam | هو ترجم | huwe tarjam
he turned off | huwwe 6afa | هو طفى | huwe 6afa
he turned on | huwwe dwa | هو ضوى | huwe dwa
he understood | huwwe fehem | هو فهم | huwe fehem
he undressed | huwwe shala7 | هو شلح | huwe shala7
he used | huwwe sta3mal | هو استعمل | huwe sta3mal
he waited | huwwe stanna | هو استنى | huwe stana
he walked | huwwe masha | هو مشى | huwe masha
he wanted | huwwe kaan biddo | هو كان بده | huwe kAn bido
he was | huwwe kaan | هو كان | huwe kAn
he washed | huwwe 8assal | هو غسل | huwe 8asal
he washed dishes | huwwe jala | هو جلى | huwe jala
he watched | huwwe 7eder | هو حضر | huwe 7eder
he went | raa7 | راح | rA7
he went out/up | huwwe 6ele3 | هو طلع | huwe 6ele3
he woke up | huwwe si7i | هو صحى | huwe si7i
he wore | huwwe lebes | هو لبس | huwe lebes
he worked | huwwe shta8al | هو اشتغل | huwe shta8al
he worried | huwwe 2ele2 | هو قلق | huwe 2ele2
he wrote | huwwe katab | هو كتب | huwe katab
head | Raas | راس | rAs
healthy | Se77iس | صحي | se7i
heart | Qalb | قلب | 2alb
heavy | tqeel | ثقيل | t2Il
hello / hello / hi | marhaba | مرحبا | marhaba
hello back | Marhabtein | مرحبتين | marhabtein
help | Musaa3ada | مساعدة | musA3ada
help | Saa3ed | ساعد | sA3ed
here | Hoan | هون | hoan
here i am | Hayni | هيني | haini
here is… | Hay | هي | hai
here it is | Hayyo | هيو | haiyo
here you go / welcome (f) | tfaddali | تفضلي | tfadali
here you go / welcome (m) | tfaddal | تفضل | tfadal
here’s | Hayy | هي | haI
high | 3aali | عالي | 3Ali
hold | Emsek | امسك | emsek
holiday / day off | 3utle | عطلة | 3utle
homework / duty | Waajeb | واجب | wAjeb
honey | 3asal | عسل | 3asal
horse | 7saan | حصان | 7sAn
hospital | Mustashfa | مستشفى | mustashfa
hot (f) | Su5na | سخنة | su5na
hot (m) | Su5un | سخن | su5un
hot (person) | Shawbaan | شوبان | shawbAn
hot (weather) | Shoab | شوب | shoab
hot pepper | Felfel Be7re2 | فلفل حراق | felfel be7re2
hotel | Otail | أوتيل | otail
house | Bait | بيت | bait
house gathering / invitation | 3azoome | عزومة | 3azUme
house yard | Sa7et el-bait | ساحة البيت | sa7et albait
how are you? (female) | keefek? | كيفك؟ | kIfek
how are you? (male) | keefak? | كيفك؟ | kIfak
how many times | Kam marra | كم مرة | kam mara
how much / many / how many / how much | Kam | كم | kam
how much cost | 2addaish 7a22 | قديش | 2adaish 7a2
how much does it cost? | 2addaish 7a22o | قديش حقو | 2adaish 7a2o
how old are you? (female) | qaddeish 'omrek? | قديش عمرك؟ | 2adeish 2omrek
how old are you? (male) | qaddeish 'omrak? | قديش عمرك؟ | 2adeish 2omrak
how's the weather? / how's the vibe? | Keef el-jaww? | كيف الجو؟ | kIf aljaw
humid / moist | Re6eb | رطب | re6eb
humidity / moisture | R6oobe | رطوبة | r6Ube
hungry | Ju3aan | جعان | ju3An
hurt | Majroo7 | مجروح | majrU7
hurt | Wajje3 | وجّع | waje3
husband | Joaz | جوز | joaz
i (get moved) move | Ana bat7arrak | أنا بتحرك | ana bat7arak
i add | Ana bazeed | أنا بزيد | ana bazId
i add | Bazeed | بزيد | bazId
i annoy | Ana baz3ej | أنا بزعج | ana baz3ej
i answer (a question) | Ana bajaaweb | أنا بجاوب | ana bajAweb
i answered/responded | Ana raddait | أنا رديت | ana radait
i arrive | Ana bawsal | أنا بوصل | ana bawsal
i arrive | Bawsal | بوصل | bawsal
i asked | Ana sa2alet | أنا سألت | ana sa2alet
i ate | Akalet | أكلت | akalet
i ate | Ana akalet | أنا أكلت | ana akalet
i be | Ana bakoon | أنا بكون | ana bakUn
i be quiet | Ana baskut | أنا بسكت | ana baskut
i became | Ana seret | أنا صرت | ana seret
i became quiet | Ana sakatet | أنا سكتت | ana sakatet
i become / i turn into | Ana ba9eer | أنا بصير | ana ba9Ir
i began | Ana badait | أنا بديت | ana badait
i book | Ana ba7jez | أنا بحجز | ana ba7jez
i book / reserve | Ba7jez | بحجز | ba7jez
i bore / make people bored / i make someone bored / boring | Ana bazahhe2 | بزهِّق | ana bazahe2
i bought | Ana shtarait | أنا اشتريت | ana shtarait
