# Amal's vocabulary Doc (docs/data/words.json) - english | her arabizi | arabic | key
potato | Ba6a6a | بطاطا | ba6a6a
prefer | Faddel | فضّل | fadel
prepare | Jahhez | حضّر | jahez
present tense | Mudaare3 | مضارع | mudAre3
professor / teacher | Ustaaz | أستاز | ustAz
purple (m/f) | Lailaki | ليلكي | lailaki
purse / wallet | Juzdaan | جزدان | juzdAn
push / pay | Edfa3 | ادفع | edfa3
put | 7ott | حط | 7ot
quarter | Rube3 | ربع | rube3
quarter to | Ella rube3 | إلا ربع | ela rube3
question | Su2aal | سؤال | su2Al
quickly / hurry up | Bsur3a | بسرعة | bsur3a
radish | Fejel | فجل | fejel
rain | Ma6ar | مطر | ma6ar
raisin | Zbeeb | زبيب | zbIb
read | Eqra2 | اقرأ | e2ra2
ready | Jaahez | جاهز | jAhez
reason – reasons | Sabab | سبب | sabab
red (m/f) | A7mar | أحمر | a7mar
relative | Qareeb | قريب | 2arIb~relative
relax | Ertaa7 | ارتاح | ertA7
remains | Beydall | بيضل | beidal
remember | etzakkar | تذكر | etzakar
request / order | etlob | اطلب | etlob
respond | Rudd | رد | rud
restaurant | Ma63am | مطعم | ma63am
review | Muraaja3a | مراجعة | murAja3a
rice | Ruz | رز | ruz
right | Yameen | يمين | yamIn
right / cost | 7aqq | حق | 7a2
road / way / route | 6ariq | طريق | 6ari2
rock | Sa5ra | صخرة | sa5ra
room | 8urfa | غرفة | 8urfa
rooster | Deek | ديك | dIk
rude | Weqe7 | وقح | we2e7
run | Erkud | اركض | erkud
sad / upset | Za3laan | زعلان | za3lAn
saddening | beyza33el | بيزعل | beiza3el
safe travels (may you arrive in safety) | Tewsal | توصل بالسلامة | tewsal
safe travels (may you go and come back in safety) | Tru7 u terja3 bil-salaame | تروح وترجع بالسلامة | tru7 u terja3 bil salAme
said after one coughs or sneezes (health) | saha | صحة | saha
said after shower/haircut/fresh look | na'iman | نعيماً | na2iman
said when someone is working, doing effort or casual hello/bye (f)) | ya'tiki al'afyah | يعطيكي العافية | ya2tiki al2afyah
said when someone is working, doing effort or casual hello/bye (m) | ya'tik al'afyah | يعطيك العافية | ya2tik al2afyah
salad | sala6a | سلطة | sala6a
salt | Male7 | ملح | male7
salty (f) | Maal7a | مالحة | mAl7a
salty (m) | Maale7 | مالح | mAle7
same | Nafs | نفس | nafs
sand | Ramel | رمل | ramel
saturday | Yoam el-sabt | يوم السبت | yoam alsabt
sausage | Na2ane2 | نقانق | na2ane2
say / tell | 2ool | قول | 2Ul
scared | 5aayef | خايف | 5Ayef
scared (p) | 5aayfeen | خايفين | 5AifIn
scary | bey5awwef | بيخوف | bei5awef
school | Madrasa | مدرسة | madrasa
scratch | 7ukk | حك | 7uk
season | Fasel | فصل | fasel
season | fa9il | فصل | fa9il
second (2 secs/seconds) | Saanie | ثانية (ثانيتين | sAnie
secret | ser | سر | ser
see | Shoof | شوف | shUf
seems like / looks like / apparently | Sheklo | شكلو | sheklo
self / state / condition | 7aal | حال | 7Al
selfish | Anaani | أناني | anAni
sell | Bee3 | بيع | bI3
send | Eb3at | ابعت | eb3at
sentence – sentences | Jumle | جملة | jumle
serious | Jaddi | جدي | jadi
seriously / really | Jadd | جد | jad
seven | Sab3ah | سبعة | sab3ah
seven hundred | sabe3meyyah | سبعمية | sabe3meiyah
seven minutes | Sabe3 da2aaye2 | سبع دقايق | sabe3 da2Aye2
seven thousand | sabe3talaf | سبع آلاف | sabe3talaf
seventeen | saba3ta3sh | سبعتاش | saba3ta3sh
seventy | sab3in | سبعين | sab3in
seventy-five | 5amsa u sab3in | خمسة و سبعين | 5amsa u sab3in
she answered/responded | heyye raddat | هي ردت | heiye radat
she asked | heyye sa2lat | هي سألت | heiye sa2lat
she ate | heyye aklat | هي أكلت | heiye aklat
she became | heyye saarat | هي صارت | heiye sArat
she became quiet | heyye saktat | هي سكتت | heiye saktat
she began | heyye badat | هي بدأت | heiye badat
she bought | heyye shtarat | هي اشترت | heiye shtarat
she brought | heyye jaabat | هي جابت | heiye jAbat
she came | heyye ajat | هي إجت | heiye ajat
she carried | heyye 7amlat | هي حملت | heiye 7amlat
she changed | heyye 8ayyarat | هي غيرت | heiye 8aiyarat
she cheated | heyye 8ashshat | هي غشت | heiye 8ashat
she cleaned | heyye naddafat | هي نظفت | heiye nadafat
she closed | heyye sakkarat | هي سكرت | heiye sakarat
she complained | heyye shakat | هي شكت | heiye shakat
she cooked | heyye tab5at | هي طبخت | heiye tab5at
she could / was able to | heyye 2adrat | هي قدرت | heiye 2adrat
she cut | heyye 2assat | هي قصت | heiye 2asat
she did/made | heyye 3emlat | هي عملت | heiye 3emlat
she drank | heyye sherbat | هي شربت | heiye sherbat
she drew | heyye rasmat | هي رسمت | heiye rasmat
she drove | heyye saa2at | هي ساقت | heiye sA2at
she exercised | heyye tmarranat | هي تمرنت | heiye tmaranat
she explained | heyye shar7at | هي شرحت | heiye shar7at
she felt | heyye 7assat | هي حست | heiye 7asat
she finished | heyye 5allasat | هي خلصت | heiye 5alasat
she forgot | heyye niset | هي نسيت | heiye niset
she fought | heyye 2aatalat | هي قاتلت | heiye 2Atalat
she found | heyye la2at | هي لقت | heiye la2at
she fried | heyye 2alat | هي قَلَت | heiye 2alat
she gave | heyye 3atat | هي عطت | heiye 3atat
she had | kaan 3indha | كان عندها | kAn 3inda
she hated | heyye kerhat | هي كرهت | heiye kerhat
she held | heyye maskat | هي مسكت | heiye maskat
she hurried | heyye sta3jalat | هي استعجلت | heiye sta3jalat
she hurt | heyye wajja3at | هي وجعت | heiye waja3at
she invited | heyye 3azmat | هي عزمت | heiye 3azmat
she knew | heyye 3irfat | هي عرفت | heiye 3irfat
she laughed/smiled | heyye de7kat | هي ضحكت | heiye de7kat
she learned | Heyye t3allamat | هي تعلمت | heiye t3alamat
she left/let | heyye 5allat | هي خلت | heiye 5alat
she lied | heyye kazzabat | هي كذبت | heiye kazabat
she liked | heyye 7abbat | هي حبت | heiye 7abat
she listened | heyye sem3at | هي سمعت | heiye sem3at
she made someone bored | heyye zahha2at | هي زهقت | heiye zaha2at
she made someone crazy | heyye jannanet | هي جننت | heiye jananet
she made someone laugh | heyye da77akat | هي ضحكت | heiye da7akat
she met up | heyye lta2at | هي التقت | heiye lta2at
she moved | heyye 7arrakat | هي حركت | heiye 7arakat
she needed | heyye 7taajat | هي احتاجت | heiye 7tAjat
she opened | heyye fat7at | هي فتحت | heiye fat7at
she ordered | heyye 6albat | هي طلبت | heiye 6albat
she organized | heyye rattabat | هي رتبت | heiye ratabat
she paid attention | heyye ntabhat | هي انتبهت | heiye ntabhat
she paid/pushed | heyye daf3at | هي دفعت | heiye daf3at
she planned | heyye 5a66atat | هي خططت | heiye 5a6atat
she played | heyye le3bat | هي لعبت | heiye le3bat
she practiced | heyye tdarrabat | هي تدربت | heiye tdarabat
she preferred | heyye faddalat | هي فضلت | heiye fadalat
she prepared | heyye jahhazat | هي جهزت | heiye jahazat
she put | heyye 7attat | هي حطت | heiye 7atat
she ran | heyye rakdat | هي ركضت | heiye rakdat
she rang/called | heyye rannat | هي رنت | heiye ranat
she read | heyye qar2at | هي قرأت | heiye 2ar2at
she relaxed | heyye rtaa7at | هي ارتاحت | heiye rtA7at
she remembered | heyye tzakkarat | هي تذكرت | heiye tzakarat
she said | heyye 2aalat | هي قالت | heiye 2Alat
she sang | heyye 8annat | هي غنت | heiye 8anat
she sat | heyye 2a3dat | هي قعدت | heiye 2a3dat
she saw | heyye shaafat | هي شافت | heiye shAfat
she scratched | heyye 7akkat | هي حكت | heiye 7akat~scratch
she sent | heyye ba3tat | هي بعتت | heiye ba3tat
she showed | heyye farjat | هي فرجت | heiye farjat
she slept | heyye naamat | هي نامت | heiye nAmat
she smelled | heyye shammat | هي شمت | heiye shamat
she sold | heyye baa3at | هي باعت | heiye bA3at
she spent (time) | heyye 2addat | هي قضت | heiye 2adat
she started | heyye ballashat | هي بلشت | heiye balashat
she stayed/kept | heyye dallat | هي ضلت | heiye dalat
she stopped | heyye wa22afat | هي وقفت | heiye wa2afat
she studied | heyye darsat | هي درست | heiye darsat
she talked | heyye 7akat | هي حكت | heiye 7akat
she taught | heyye 3allamat | هي علمت | heiye 3alamat
she thought/assumed | heyye zannat | هي ظنت | heiye zanat
she took | heyye a5dat | هي أخذت | heiye a5dat
she translated | heyye tarjamat | هي ترجمت | heiye tarjamat
she turned off | heyye 6afat | هي طفت | heiye 6afat
she turned on | heyye dwat | هي ضوت | heiye dwat
she understood | heyye fehmat | هي فهمت | heiye fehmat
she undressed | heyye shal7at | هي شلحت | heiye shal7at
she used | heyye sta3malat | هي استعملت | heiye sta3malat
she waited | heyye stannat | هي استنت | heiye stanat
she walked | heyye mashat | هي مشت | heiye mashat
she wanted | heyye kaanat biddha | هي كانت بدها | heiye kAnat bida
she was | heyye kaanat | هي كانت | heiye kAnat
she washed | heyye 8assalat | هي غسلت | heiye 8asalat
she washed dishes | heyye jalat | هي جلت | heiye jalat
she watched | heyye 7edrat | هي حضرت | heiye 7edrat
she went out/up | heyye 6el3at | هي طلعت | heiye 6el3at
she woke up | heyye si7et | هي صحت | heiye si7et
she wore | heyye lebsat | هي لبست | heiye lebsat
she worked | heyye shta8lat | هي اشتغلت | heiye shta8lat
she worried | heyye 2le2et | هي قلقت | heiye 2le2et
she wrote | heyye katbat | هي كتبت | heiye katbat
sheep | 5aroof | خروف | 5arUf
shirt / blouse | Blooze | بلوزة | blUze
short | Qaseer | قصير | 2asIr
short sleeve | Noss kum | نص كم | nos kum
shorts | Short | شورت | short
shoulder | Kitef | كتف | kitef
show | farji | فرجي | farji
shower | et7ammam | تحمّم | et7amam
showerhead | Dush | دوش | dush
shrimp | Gambari | جمبري | gambari
shy | 5ajool | خجول | 5ajUl
shy | Meste7i | مستحي | meste7i
sick | 3ayaan | عيان | 3ayAn
sidewalk | Ra9eef | رصيف | ra9If
sign / traffic light | Eshaara | إشارة | eshAra
simple | Basee6 | بسيط | basI6
sinamonn cinnamon | 2erfeh | قرفة | 2erfeh
sing | 8anni | غني | 8ani
singer | Mu8anni | مغني | mu8ani
sink | Ma8saleh | مغسلة | ma8saleh
sink | Majla | مجلى | majla
sister | U5t | أخت | u5t
sit | E3od | اقعد | e3od
six | sittah | ستة | sitah
six hours | sit saa3aat | ست ساعات | sit sA3At
six hundred | sittmeyyah | ستمية | sitmeiyah
six thousand | sittalaf | ست آلاف | sitalaf
sixteen | sitta3sh | ستاعش | sita3sh
sixty | sittin | ستين | sitin
sixty-two | tenein u sittin | تنين و ستين | tenein u sitin
skirt | Tannoora | تنورة | tanUra
sky | Sama | سما | sama
sleep | Naam | نام | nAm
sleep (noun) | Noam | نوم | noam
sleepy | Na3saan | نعسان | na3sAn
sleeve | Kum | كم | kum
slow | Batee2 | بطيئ | batI2
small | Z8eer | صغير | z8Ir
small bird / sparrow | 3asfoor | عصفور | 3asfUr
smart | Zaki | ذكي | zaki
smell | Shemm | شم | shem
smell | ree7a | ريحة | rI7a
smile / laugh | Ed7ak | اضحك | ed7ak
snake | 7ayye | حية | 7aiye
sneakers / boots | Boat | بوت | boat
snow | Talj | تلج | talj
socks (plural) | Kalsaat | كلسات | kalsAt
sofa | Kanabaai | كنباي | kanabAi
sofa | Kanabaayeh | كنباي | kanabAyeh
sofa | Sofa | صوفا | sofa
soft | Naa3em | ناعم | nA3em
soil / dirt | Traab | تراب | trAb
some more / also / another / too | Kaman | كمان | kaman
someone | 7ada | حدا | 7ada
something else | Eshi taani | اشي تاني غير اشي | eshi tAni
something like this / such a thing | Haiku ishi | هيك اشي | haiku ishi
sometimes | Marrat | مرات | marat
son | Eben | ابن | eben
song | U8niyye | أغنية | u8nIye
soon | qareeban | قريباً | 2arIban
sorry | aasef | آسف | Asef
sound / voice | Soat | صوت | soat
sounds good / okay / alright | Maashi | ماشي | mAshi
soup | Shoraba | شوربة | shoraba
sour (f) | 7aamda | حامضة | 7Amda
sour (m) | 7aamed | حامض | 7Amed
south | Janoob | جنوب | janUb
sower cream | labaneh | لبنة | labaneh
spatula / ladle | Ma8rafa | مغرفة | ma8rafa
speak / talk | E7ki | احكي | e7ki
special | Mumayyaz | مميز | mumaiyaz
speed | Sur3a | سرعة | sur3a
spider | 3ankaboot | عنكبوت | 3ankabUt
spinach | sabane5 | سبانخ | sabane5
spoon | Ma3la2a | معلقة | ma3la2a
sport | Reyaada | رياضة | reyAda
spring | El-rabee3 | الربيع | alrabI3
spring | Rabee3 | ربيع | rabI3
squirrel | Sinjaab | سنجاب | sinjAb
stain | Buq3a | بقعة | bu23a
star | Nejme | نجمة | nejme
start | Ebda | ابدا | ebda
stay | 5alleek | خليك | 5alIk
stay / keep on | Dall | ضل | dal
still / yet | Lissa | لسه | lisa
stingy | Ba5eel | بخيل | ba5Il
stomach / belly | Bâ6en | بطن | ba6en
stone | 7ajar | حجر | 7ajar
stop / stand up | Wa2ef | وقف | wa2ef
store / shop | Ma7al | محل | ma7al
storm | 3aasefe | عاصفة | 3Asefe
stove | 8aaz | غاز | 8Az
straight | Du8ri | دغري | du8ri
strawberry | Farawla | فراولة | farawla
street | Shaare3 | شارع | shAre3
stressed / under pressure | Mad8oo6 | مضغوط | mad8U6
strong | 2awi | قوي | 2awi
stubborn | 3aneed | عنيد | 3anId
student | 6aaleb | طالب | 6Aleb
study | Edrus | ادرس | edrus
stupid | 8abi | غبي | 8abi
stupid / silly | Ahbal | أهبل | ahbal
successful | Naaje7 | ناجح | nAje7
sugar | Sukkar | سكر | sukar
suit | Badle | بدلة | badle
suitcase | Shantet safar | شنتة سفر | shantet safar
summer | 9aif | صيف | 9aif
summer | El-9aif | الصيف | al9aif
sun | Shams | شمس | shams
sunday | Yoam el-a7ad | يوم الأحد | yoam ala7ad
sunglasses | Nadaara shamsiyye | نضارة شمسية | nadAra shamsIye
sunrise | Shuroo2 el-shams | شروق الشمس | shurU2 el shams
sunset | 8uroob el-shams | غروب الشمس | 8urUb el shams
sunset / evening | el-ma8reb | المغرب | alma8reb
supermarket | Supermarket | سوبرماركت | supermarket
sure / certain | Mit2akked | متأكد | mit2aked
sweatpants | Ban6aloan ryaada | بنطلون رياضة | ban6aloan ryAda
sweatshirt | Bloozet ryaada | بلوزة رياضة | blUzet ryAda
sweet/nice (f) | 7ilua | حلوة | 7ilua
sweet/nice (m) / nice/beautiful/sweet | 7ilu | حلو | 7ilu
swimming (noun) | Sbaa7a | سباحة | sbA7a
table | Tâwla | طاولة | tawla
take | 5ud | خد | 5ud
take a breath | 5ud nafas | خد نفس | 5ud nafas
take care / be careful | Deer baalak | دير بالك | dIr bAlak
take care of yourself | Deer baalak 3ala 7aalak | دير بالك على حالك | dIr bAlak 3ala 7Alak
tall/long | Taweel | طويل | tawIl
tangerine (clementine) | Kalamantina | كلمنتينا | kalamantina
tea | Shai | شاي | shai
teach | 3allem | علّم | 3alem
teacher | M3allem | معلم | m3alem
temperature | Darjet el-7araara | درجة الحرارة | darjet al7arAra
temperature / heat | 7araara | حرارة | 7arAra
ten | 3ashrah | عشرة | 3ashrah
ten seconds | 3asher sawaani | عشر ثواني | 3asher sawAni
ten thousand | 3ashartalaf | عشر آلاف | 3ashartalaf
tent | 5aime | خيمة | 5aime
thank you | Shukran | شكراً | shukran
thanks | yeslamu | يسلمو | yeslamu
that (connector) | Enno | أنو | eno
that (f) | Hadeek | هديك | hadIk
that (m) | Hadaak | هداك | hadAk
that’s it | Haada hu | هذا هو | hAda hu
that’s it / that’s the one | Hada hu | هاد هو | hada hu
that’s why / therefore / because of this | 3ashaan heik | عشان هيك | 3ashAn heik
the atmosphere is tense | El-jaww mitwatter | الجو متوتر | aljaw mitwater
the bedroom | 8urfet El-noam | غرفة النوم | 8urfet alnoam
the beginning of the day | Awal el-yoam | أول اليوم | awal alyoam
the end of the world / very far away | 2aa5er el-denia | آخر الدنيا | 2A5er aldenia
the least | A2al shee | أقل شيء | a2al shI
the most | Aktar shee | أكتر شيء | aktar shI
the most | Aktar … | أكثر … | aktar~2
the pleasure is mine | elsharaf eli | الشرف الي | elsharaf eli
the ticket’s cost | 7a22 el-tazkara | حق التذكرة | 7a2 altazkara
the time is 1:00 | Elsaa3a wa7de | الساعة وحدة | alsA3a wa7de
the time is 2:00 | Elsaa3a tentain | الساعة تنتين | alsA3a tentain
the weather / vibe is nice | El-jaw 7elu | الجو حلو | aljaw 7elu
the weather is cloudy | El-jaw m8ayyem | الجو مغيم | aljaw m8aiyem
the weather is pleasant | El-jaw la6eef | الجو لطيف | aljaw la6If
the world / people (el-3aalam) | 3aalam | عالم | 3Alam
the world / the conditions | El-denia | الدنيا | aldenia
the zoo | 7adee2et el-7aywaanaat | حديقة الحيوانات | 7adI2et al7aiwAnAt
there | Honaak | هناك | honAk
there’s no … with me/him | Ma ma3i | ما معي | ma ma3i
these | Hadoal | هدول | hadoal
they answered/responded | humme raddu | هم ردوا | hume radu
they asked | humme sa2alu | هم سألوا | hume sa2alu
they ate | humme akalu | هم أكلوا | hume akalu
they became | humme saaru | هم صاروا | hume sAru
they became quiet | humme sakatu | هم سكتوا | hume sakatu
they began | humme badu | هم بدأوا | hume badu
they bought | humme shtaru | هم اشتروا | hume shtaru
they brought | humme jaabu | هم جابوا | hume jAbu
they came | humme aju | هم إجوا | hume aju
they cared | humme 2a3adu | هم قعدوا | hume 2a3adu
they carried | humme 7amalu | هم حملوا | hume 7amalu
they changed | humme 8ayyaru | هم غيروا | hume 8aiyaru
they cheated | humme 8ashshu | هم غشوا | hume 8ashu
they cleaned | humme naddafu | هم نظفوا | hume nadafu
they closed | humme sakkaru | هم سكروا | hume sakaru
they complained | humme shaku | هم شكوا | hume shaku
they cooked | humme taba5u | هم طبخوا | hume taba5u
they could / was able to | humme 2adru | هم قدروا | hume 2adru
they cut | humme 2assu | هم قصوا | hume 2asu
they did/made | humme 3emlu | هم عملوا | hume 3emlu
they drank | humme shirbu | هم شربوا | hume shirbu
they drew | humme rasamu | هم رسموا | hume rasamu
they drove | humme saa2u | هم ساقوا | hume sA2u
they exercised | humme tmarranu | هم تمرنوا | hume tmaranu
they explained | humme shara7u | هم شرحوا | hume shara7u
they felt | humme 7assu | هم حسوا | hume 7asu
they finished | humme 5allasu | هم خلصوا | hume 5alasu
they forgot | humme nisu | هم نسيوا | hume nisu
they fought | humme 2aatalu | هم قاتلوا | hume 2Atalu
they found | humme la2u | هم لقوا | hume la2u
they fried | humme 2alu | هم قلوا | hume 2alu
they gave | humme 3atu | هم عطوا | hume 3atu
they had | kaan 3indhom | كان عندهم | kAn 3indom
they hated | humme kerhu | هم كرهوا | hume kerhu
they held | humme masaku | هم مسكوا | hume masaku
they hurried | humme sta3jalu | هم استعجلوا | hume sta3jalu
they hurt | humme wajja3u | هم وجعوا | hume waja3u
they invited | humme 3azamu | هم عزموا | hume 3azamu
they knew | humme 3irfu | هم عرفوا | hume 3irfu
they laughed/smiled | humme de7ku | هم ضحكوا | hume de7ku
they learned | Humme t3allamu | هم تعلموا | hume t3alamu
they left/let | humme 5allu | هم خلوا | hume 5alu
they lied | humme kazzabu | هم كذبوا | hume kazabu
they liked | humme 7abbu | هم حبوا | hume 7abu
they listened | humme sem3u | هم سمعوا | hume sem3u
they made someone bored | humme zahha2u | هم زهقوا | hume zaha2u
they made someone crazy | humme jannanu | هم جننوا | hume jananu
they made someone laugh | humme da77aku | هم ضحكوا | hume da7aku
they met up | humme lta2u | هم التقوا | hume lta2u
they moved | humme 7arraku | هم حركوا | hume 7araku
they needed | humme 7taaju | هم احتاجوا | hume 7tAju
they opened | humme fata7u | هم فتحوا | hume fata7u
they ordered | humme 6alabu | هم طلبوا | hume 6alabu
they organized | humme rattabu | هم رتبوا | hume ratabu
they paid attention | humme ntabahu | هم انتبهوا | hume ntabahu
they paid/pushed | humme dafa3u | هم دفعوا | hume dafa3u
they planned | humme 5a66atu | هم خططوا | hume 5a6atu
they played | humme le3bu | هم لعبوا | hume le3bu
they practiced | humme tdarrabu | هم تدربوا | hume tdarabu
they preferred | humme faddalu | هم فضلوا | hume fadalu
they prepared | humme jahhazu | هم جهزوا | hume jahazu
they put | humme 7attu | هم حطوا | hume 7atu
they ran | humme rakadu | هم ركضوا | hume rakadu
they rang/called | humme rannu | هم رنوا | hume ranu
they read | humme qara2u | هم قرأوا | hume 2ara2u
they relaxed | humme rtaa7u | هم ارتاحوا | hume rtA7u
they remembered | humme tzakkaru | هم تذكروا | hume tzakaru
they said | humme 2aalu | هم قالوا | hume 2Alu
they sang | humme 8annu | هم غنوا | hume 8anu
they saw | humme shaafu | هم شافوا | hume shAfu
they scratched | humme 7akku | هم حكوا | hume 7aku~scratch
they sent | humme ba3atu | هم بعتوا | hume ba3atu
they showed | humme farju | هم فرجوا | hume farju
they slept | humme naamu | هم ناموا | hume nAmu
they smelled | humme shammu | هم شموا | hume shamu
they sold | humme baa3u | هم باعوا | hume bA3u
they spent (time) | humme 2addu | هم قضوا | hume 2adu
they started | humme ballashu | هم بلشوا | hume balashu
they stayed/kept | humme dallu | هم ضلوا | hume dalu
they stopped | humme wa22afu | هم وقفوا | hume wa2afu
they studied | humme darasu | هم درسوا | hume darasu
they talked | humme 7aku | هم حكوا | hume 7aku
they taught | humme 3allamu | هم علموا | hume 3alamu
they thought/assumed | humme zannu | هم ظنوا | hume zanu
they took | humme a5adu | هم أخذوا | hume a5adu
they translated | humme tarjamu | هم ترجموا | hume tarjamu
they turned off | humme 6afu | هم طفوا | hume 6afu
they turned on | humme dwu | هم ضووا | hume dwu
they understood | humme fehmu | هم فهموا | hume fehmu
they undressed | humme shala7u | هم شلحوا | hume shala7u
they used | humme sta3malu | هم استعملوا | hume sta3malu
they waited | humme stannu | هم استنوا | hume stanu
they walked | humme mashu | هم مشوا | hume mashu
they wanted | humme kaanu biddhom | هم كانوا بدهم | hume kAnu bidom
they washed | humme 8assalu | هم غسلوا | hume 8asalu
they washed dishes | humme jalu | هم جلوا | hume jalu
they watched | humme 7edru | هم حضروا | hume 7edru
they went out/up | humme 6el3u | هم طلعوا | hume 6el3u
they were | humme kaanu | هم كانوا | hume kAnu
they woke up | humme si7u | هم صحوا | hume si7u
they wore | humme lebsu | هم لبسوا | hume lebsu
they worked | humme shta8alu | هم اشتغلوا | hume shta8alu
they worried | humme 2ele2u | هم قلقوا | hume 2ele2u
they wrote | humme katabu | هم كتبوا | hume katabu
thing / something / something / a thing | Eshi | اشي | eshi
think | Fakker | فكر | faker
third | Tult | تلت | tult~2
third | Tult | ثلث | tult
third to | Illa tult | إلا ثلث | ila tult
thirsty | 3a6shaan | عطشان | 3a6shAn
thirteen | talatta3sh | تلاتعش | talata3sh
thirty | talatin | تلاتين | talatin
thirty-three | talat u talatin | تلات و تلاتين | talat u talatin
this (f) | Hadi | هادي | hadi
this (m) | Hada | هادا | hada
those | Hadoalaak | هدولاك | hadoalAk
three | talat | تلات | talat
three hundred | talatmeyyah | تلاتمية | talatmeiyah
three minutes | talat da2aaye2 | تلت دقايق | talat da2Aye2
three thousand | talattalaf | تلات آلاف | talatalaf
throat | 7aleq | حلق | 7ale2
thunder | Ra3ed | رعد | ra3ed
thursday | Yoam el-5amees | يوم الخميس | yoam al5amIs
ticket | Tazkara | تذكرة | tazkara
time | waqet | وقت | wa2et
times / sometimes | Marraat | مرات | marAt
tired | Ta3baan | تعبان | ta3bAn
tired (p) | Ta3baaneen | تعبانين | ta3bAnIn
tiring | Mut3eb | متعب | mut3eb
tissue / napkin | Ma7rameh | محرمة | ma7rameh
to the right | 3ala el-yameen | على اليمين | 3ala alyamIn
to work out / to work as planned / to be possible or permissible | Zabe6 | زبط | zabe6
today | El-youm | اليوم | alyoum
together | Ma3 ba3ad | مع بعض | ma3 ba3ad
toilet seat | Kabbineh | كبينة | kabineh
tomato | Bandora | بندورة | bandora
tomatobreakfast | Ftur | فطور | ftur
tomorrow | Bukra | بكرا | bukra
tonight | ellaile | الليلة | alaile
tooth | Sin | سن | sin
tooth brush | Furshayet snan | فرشاية سنان | furshayet snan
toothpaste | Ma3joon | معجون | ma3jUn
tourist – tourists | Saaye7 | سائح | sAye7
towel | Bashkeer | بشكير | bashkIr
traffic / crisis / traffic jam | Azme | أزمة | azme
translation | Tarjame | ترجمة | tarjame
trash | Zbaale | زبالة | zbAle
trash can | Sallet zbaale | سلة زبالة | salet zbAle
traveling (noun) | Safar | سفر | safar
traveling (progressive) / passenger | Msaafer | مسافر | msAfer
tree | Shajara | شجرة | shajara
true | sa7 Mazboo6 | صح مزبوط | sa7 mazbU6
true / correct / right | sa7 | صح | sa7
tuesday | Yoam el-tulata | يوم الثلاثاء | yoam altulata
turkey | 7abash | حبش | 7abash
turn | Liff | لف | lif
turn off | Etfi | طفّي | etfi
turn on | Edwi | شغّل | edwi
tv | Tilfizyon | تلفزيون | tilfizyon
twelve | tna3sh | تنعش | tna3sh
twenty | 3eshreen | عشرين | 3eshrIn
twenty-one | Wa7ad u 3eshreen | واحد و عشرين | wa7ad u 3eshrIn
twenty-twenty-five | alfein u 5amsa u 3eshrin | ألفين و خمسة و عشرين | alfein u 5amsa u 3eshrin
twice / two times | martain | مرتين | martain
two | TeneinV | تنين | teneinv
two (f) | Tentain | تنتين | tentain
two hundred | metein | ميتين | metein
two thousand | alfein | ألفين | alfein
type / kind | Noa3 | نوع | noa3
ugly | Bishe3 | بشع | bishe3
umbrella | Shamsiyye | شمسية | shamsIye
uncle (maternal) | 5aal | خال | 5Al
uncle (paternal) | 3am | عم | 3am
understand | efham | افهم | efham
undress | Eshla7 | شلح | eshla7
unintentionally / by accident | Mish bel2asd | مش بالقصد | mish bel2asd
university | Jaam3a | جامعة | jAm3a
up / above | Foaq | فوق | foa2
upset / bothered | Mitdaayeq | متضايق | mitdAye2
upseting | beydaaye2 | بيدايق | beidAye2
use | Esta3mel | استعمل | esta3mel
usually | 3aadatan | عادةً | 3Adatan
vacation | Ijaaza | إجازة | ijAza
vegetables | 5udra | خضرة | 5udra
verb – verbs | Fe3el | فعل | fe3el
view / scenery | Manzar | منظر | manzar
village | Qarya | قرية | 2arya
wait | estanna | استنى | estana
wake up | Es7a | اصحى | es7a
walk | Emshi | امشي | emshi
wall | 7ait | حيط | 7ait
walnut | Joz | جوز | joz
warm | Daafi | دافي | dAfi
wash | E8sel | اغسل | e8sel
wash dishes | Ejli | اجلي | ejli
washing machine | 8assaaleh | غسالة | 8asAleh
watch / hour (2 hours/hours) | Saa3a | ساعة | sA3a
watch out | ew3a | أوعى | ew3a
water | Mayy | مي | maI
watermelon | Batti5 | بطيخ | bati5
way / method | Tariqa | طريقة | tari2a
we answered/responded | i7na raddaina | إحنا ردينا | i7na radaina
we asked | i7na sa2alna | إحنا سألنا | i7na sa2alna
we ate | i7na akalna | إحنا أكلنا | i7na akalna
we became | i7na srna | إحنا صرنا | i7na srna
we became quiet | i7na sakatna | إحنا سكتنا | i7na sakatna
we began | i7na badaina | إحنا بدينا | i7na badaina
we bought | i7na shtaraina | إحنا اشترينا | i7na shtaraina
we brought | i7na jebna | إحنا جبنا | i7na jebna
we came | i7na ajeena | إحنا جينا | i7na ajIna
we carried | i7na 7amarna | إحنا حملنا | i7na 7amarna
we changed | i7na 8ayyarna | إحنا غيرنا | i7na 8aiyarna
we cheated | i7na 8ashshaina | إحنا غشينا | i7na 8ashaina
we cleaned | i7na naddafna | إحنا نظفنا | i7na nadafna
we closed | i7na sakkerna | إحنا سكرنا | i7na sakerna
we complained | i7na shakaina | إحنا شكينا | i7na shakaina
we cooked | i7na taba5na | إحنا طبخنا | i7na taba5na
we could / was able to | i7na 2derna | إحنا قدرنا | i7na 2derna
we cut | i7na 2assaina | إحنا قصينا | i7na 2asaina
we did/made | i7na 3melna | إحنا عملنا | i7na 3melna
